Aaliyah	Arabic, Hebrew	high exalted, to ascend
Ronnie		A true likeness or image. From the name Veronica, but also used as independent names.
Ronny		A true likeness or image. From the name Veronica, but also used as independent names.
Rory	Irish Gaelic	The red king. A boy or girl's name.
Ros	Old German/Latin	Old German: From the word for a horse. Latin: Beautiful rose.
Rosa	Italian and Spanish	The flower Rose (Rosa). Also:From the word for a horse.
Rosabelle	Latin	A beautiful rose. Also derived from Rose and Belle.
Rosalba	Italian	A white rose.
Rosaleen	Irish	From the word for a horse. Also: Beautiful Rose.
Rosalia	Latin	Derived from Rose. Also the name of a 12th-century saint. Latin: The flower Rose (Rosa). Old German: From the word for a horse.
Rosalind	Old German/Latin	Old German: From the word for a horse. Latin: Beautiful Rose. Shakespeare's heroine in As You Like It.
Rosaline	Irish	From the word for a horse. Also: Beautiful Rose.
Rosalyn		From the word for a horse. Also: Beautiful Rose.
Rosamond	Old German/Latin	Old German: From the word for a horse. Latin: A pure rose, or the rose of the world.
Rosamunde		Wild roses.
Rosanna		A name derived from Rose and Anna. Rose - The flower Rose (Rosa). Also:From the word for a horse. Anna - Grace, or favoured by God.
Rosanne	Latin	gracious rose
Rosario	Spanish	From the word for a rosary.
Rose	Latin/Old German	The flower Rose (Rosa). Also:From the word for a horse.
Roseanne		A name derived from Rose and Anna. Rose - The flower Rose (Rosa). Also:From the word for a horse. Anna - Grace, or favoured by God.
Roselani	Hawaiian	heavenly rose
Roselle		A combination of Rose and Elle.
Rosemary	Latin	Dew of the sea, and the name of a fragrant herb. Also a combination of Rose and Mary.
Rosen	Cornish	The flower Rose (Rosa). Also:From the word for a horse.
Rosenwyn	Cornish	A fair rose.
Rosetta	Italian	The flower Rose (Rosa). Also:From the word for a horse.
Rosevear	Cornish	From the moorland.
Roshan	Persian	Splendid. One who emanates light. A boy or girl's name.
Rosheen	Irish Gaelic	The flower Rose (Rosa). Also:From the word for a horse.
Roshni	Hindu	light
Rosie	Latin/Old German	Latin: The flower Rose (Rosa). Old German: From the word for a horse. Also see Rhoda, Rosa, Rosalia, Rosamond and Rosemary.
Rosine		Little rose.
Rosita	Spanish	The flower Rose (Rosa). Also:From the word for a horse.
Roslyn	Old German/Latin	Old German: From the word for a horse. Latin: Beautiful rose.
Rossa	Scottish Gaelic	Woody meadow. Feminine form of Ross.
Rosy	Latin/Old German	Latin: The flower Rose (Rosa). Old German: From the word for a horse. Also see Rhoda, Rosa, Rosalia, Rosamond and Rosemary.
Rowan	Irish Gaelic	Little red-haired one.
Rowena	Celtic/Old English	Celtic: The white-haired one. Old English: A well-known friend.
Roxana	Persian	Dawn. The name of the wife of Alexander the Great.
Roxanne	Persian	brilliant one
Royale	Old French	The regal one. Feminine form of Roy.
Roz	Old German/Latin	Old German: From the word for a horse. Latin: Beautiful rose.
Roza	Polish	Rose.
Rozanne		A name derived from Rose and Anna. Rose - The flower Rose (Rosa). Also:From the word for a horse. Anna - Grace, or favoured by God.
Rozella		A combination of Rose and Elle.
Rozelle		A combination of Rose and Elle.
Ruby	Latin	Red, and the name of a precious stone.
Ruchi	Hindu	
Ruchika	Hindu	
Ruchira	Hindu	
Rudelle	Teutonic	The famous one.
Rudrani	Hindu	a wife of Shiva
Rue	Old English from Greek	The name of an aromatic medicinal plant. Also see Ruth.
Ruella		A combination of Ruth and Ella.
Rufina	Latin	Red-haired. The feminine form of Rufus.
Rukmini	Sanskrit	The wife of Lord Krishna. Often used in Indonesia.
Rula	Latin	A ruler. A popular.
Rumer	English	A gipsy.
Rumiko	Japanese	child of Rumi
Runa	Old Norse	Secret love.
Rupa	Hindu	
Rupal	Hindu	
Rupali	Hindu	
Ruperta	German	Bright fame, famous. Feminine form of Robert. Also see Robin.
Ruri	Japanese	An emerald.
Ruth	Hebrew	Beautiful and compassionate. A biblical name.
Ryann	Irish Gaelic	A little king.
Ryba	Czech	fish
Ryesen	English	Rye
Ryoko	Japanese	child of Ryo
Saba	Greek	woman of Sheba
Sabah	Arabic	The morning.
Sabella		A form of Elizabeth, meaning consecrated to God.
Sabelle		A form of Elizabeth, meaning consecrated to God.
Sabia	Irish	The sweet one.
Sabiha		
Sabina	Latin	The Sabines were a tribe living in central Italy during the time of the establishment of Rome. The Romans kidnapped the Sabine women to provide brides for the citizens of Rome.
Sabine	Latin	The Sabines were a tribe living in central Italy during the time of the establishment of Rome. The Romans kidnapped the Sabine women to provide brides for the citizens of Rome.
Sabira	Arabic	The patient one.
Sabirah	Arabic	patient
Sabra	Hebrew	A thorny cactus, or to rest.
Sabrina	Celtic	A legendary character.
Sacha	French	The defender, or helper of mankind. A boy or girl's name.
Sachi	Japanese	Joy.
Sachiko	Japanese	bliss, child of Sachi
Sadb	Gaelic	
Sade	Nigerian	honor confers a crown
Sadhana	Hindu	
Sadie		A princess. The wife of Abraham and mother of Isaac in the Bible.
Sadira	Persian	A lotus.
Saeko	Japanese	child of Sae
Safak	Turkish	
Saffi	Danish	Form of Sophie. Wisdom.
Saffron	Arabic	From the name of the spice.
Safia	Arabic	The confidante, or pure one.
Safiya	African	pure
Sagara	Hindu	ocean
Sage	Old French	Wise. Also the name of a herb. A boy or girl's name.
Sahana	Hindu	
Sahar	Arabic	Dawn.
Saheli	Hindu	friend
Sahiba	Hindu	lady
Sahila	Hindu	guide
Saida	Arabic	fortunate one
Saidah	African	happy, fortunate
Sajili	Hindu	decorated
Sajni	Hindu	beloved
Sakari	Native American	sweet
Sakiko	Japanese	child of Saki
Sakinah	Arabic	god-inspired peace-of-mind, tranquility
Sakti	Hindu	energy, goodness
Sakuko	Japanese	child of Saku
Sakura	Japanese	Cherry blossom.
Sakurako	Japanese	child of Sakura
Salal	English	a plant
Salihah	African	correct
Salima	Arabic	Safe, secure.
Salimah	Arabic	safe, healthy
Salina	Latin	Solemn.
Sally		A princess. The wife of Abraham and mother of Isaac in the Bible.
Saloma	Hebrew	peace
Salome	Hebrew	Peace. A biblical name.
Saloni	Hindu	dear, beautiful
Salvia	Latin	A plant name.
Salwa	Arabic	solace; comfort
Sam		She who listens also an achievement. A boy or girl's name.
Samantha	Aramaic	She who listens.
Samara	Hebrew	Guarded by God.
Samicah	Hebrew	Samika
Samiksha	Hindu	
Samirah	Arabic	entertaining companion
Samma	Arabic	sky, skye
Sammi		She who listens.
Sammie		She who listens also an achievement. A boy or girl's name.
Sammy		She who listens also an achievement. A boy or girl's name.
Sampriti	Hindu	attachment
Samta	Hindu	
Samuela	Hebrew	Asked of God. The feminine form of Samuel.
Samularia	sweet one forever	Sammy, Lari, laria
Samye		
Sana	Arabic	The radiant one.
Sanako	Japanese	child of Sana
Sanchay	Hindu	collection
Sancia	Latin	Sacred.
Sandi		The defender, or helper of mankind. From the name Alexandra and Sandra.
Sandia	Spanish	watermelon
Sandie	Greek	The protector and helper of mankind. A boy or girl's name.
Sandra		The defender, or helper of mankind. From the name Alexandra.
Sandrine	Greek	helper and defender of mankind
Sandy	Greek	The protector and helper of mankind. A boy or girl's name.
Sandya	Hindu	sunset time, name of a God
Sangita	Hindu	musical
Sangmu	Tibetan/Sherpa	The kind-hearted one.
Sanjna	Hindu	wife of the Sun
Sanjula	Hindu	beautiful
Sanrevelle	Portuguese	San, Rev, Revelle, Revla
Sanyogita	Hindu	
Sanyukta	Hindu	Sanjukta
Sapna	Hindu	dream
Sapphira	Greek	Deep blue. A gemstone name.
Sapphire	Greek	Deep blue. A gemstone name.
Sara		A princess. The wife of Abraham and mother of Isaac in the Bible.
Sarah	Hebrew	A princess. The wife of Abraham and mother of Isaac in the Bible.
Sarai	Hebrew	quarrelsome
Saraid	Celtic	excellent
Sarala	Sanskrit	Honest.
Sarasvati	Hindu	a Goddess
Saravati	Hindu	
Sarea	Hebrew	name of an angel
Saree	Arabic	most noble
Saria	Hebrew	A princess. The wife of Abraham and mother of Isaac in the Bible.
Sariah	Hebrew	Hebrew expression meaning Princess of the Lord.
Sarika	Hindu	thrush
Sarisha	Sanskrit	Charming.
Sarita	Hindu	stream, river
Sarmistha	Hindu	a daughter of Vrsaparvan
Saroja	Sanskrit	Born in a lake.
Saru	Hindu	
Saryu	Hindu	A river in Ramayana
Sasha	Russian	The protector and helper of mankind. A boy or girl's name.
Sashenka	Russian	defender and helper of mankind
Sashi	Hindu	
Saskia	Dutch	A Saxon.
Sasthi	Hindu	
Satinka	Native American	magic dancer
Satoko	Japanese	child of Sato
Satyavati		
Saumya	Hindu	
Saundarya	Hindu	
Savanna	Spanish	From the grasslands or open plains.
Savarna	Hindu	daughter of the ocean
Savina	Russian	A Sabine woman (from central Italy).
Savita	Hindu	sun
Savitri	Hindu	a form of the Devi, 4th Sakti
Sawsan	Arabic	A lily of the valley.
Saxon	Old English	Of the Saxons, or people of the sword. A boy or girl's name.
Saxona	Teutonic	A Saxon.
Sayoko	Japanese	child of Sayo
Scarlet		Flaming red.
Scarlett	Old French	A colour name, Made famous by the heroine in Margaret Mitchell's Gone With the Wind.
Schmetterling	German	butterfly
Schuyler	Dutch	shield, scholar
Scota	Latin	an Irish woman
Seanna	Celtic	God?s grace
Searlait	French	petitet
Season	Latin	The time of sowing.
Sebastiana	Latin	A woman from Sebasta. The feminine form of Sebastian.
Sebastianne	Latin	revered one
Secunda	Latin	The second child.
Seema	Greek, Hindu	symbol
Sefika	Turkish	
Seirian	Welsh	Sparkling.
Seiriol	Welsh	The bright one.
Sela	Hebrew	a rock
Selda		The grey battle heroine.
Selena	Greek	The goddess of the moon.
Selene	Greek	The goddess of the moon.
Selia		The blind one, or the sixth. The feminine form of Cecil. Also see Sheila.
Selima		Brings comfort, peace.
Selina		Lunar glow.
Selma		A divine helmet. From the name Anselma. Also see Salima.
Semele	Greek	A figure from Greek mythology.
Semine	Danish	Goddess of sun, moon and stars
Semra	Turkish	
Senga	Scottish Gaelic	The slender one.
Senta	Old German	assistant
Seonaid	Scottish Gaelic	God is gracious. .
Septima	Latin	The seventh born.
Serafina		Heavenly, winged angel.
Seraphina	Hebrew	The ardent burning one. The Seraphim are an order of angels in the Bible.
Serena	Latin	Calm, serene.
Serendipity		Good fortune.
Serenity		Peaceful disposition.
Serica	Latin	The silken one.
Serilda	Teutonic	The armoured battle maiden.
Sesha	Hindu	serpent who symbolizes time
Sevati	Hindu	white rose
Seve	Breton	Seva
Severina	Latin	The stem or severe one.
Sevilla	Spanish	The name of a city.
Sevita	Hindu	beloved
Sexburth	Anglo-Saxon	
Sezen	Turkish	
Shahira	Arabic	Famous.
Shahnaz	Persian	The pride of the emperor.
Shaila	Hindu	
Shailaja	Hindu	
Shaili	Hindu	style
Shaina	Hebrew	Beautiful.
Shaine	Hebrew	beautiful
Shakira	Arabic	Thankful.
Shako	Native American	mint
Shakti	Sanskrit	The powerful one.
Shakuntala	Sanskrit	A bird.
Shalini	Hindu	
Shamita	Hindu	peacemaker
Shammara	Arabic	he girded his loins
Shana		God is gracious.
Shanata	Hindu	peaceful
Shane		From Irish Gaelic a Variation of Sean (John), and so a form of Jane. A boy or girl's name.
Shanelle		The name of a famous perfume.
Shanessa	Irish	God is gracious
Shani	Swahili	Wonderful. Also a form of Sian.
Shanna		Small and wise.
Shannah	Irish Gaelic	From an old surname.
Shannelle	French	channel
Shannon	Irish	From the name of a river in Ireland. A boy or girl's name.
Shantah	Hindu	peace, name of a God
Shantal		From a family name meaning stone or boulder. The name has also come to mean a little singer.
Shantay	French	enchanted
Shantel		From a family name meaning stone or boulder. The name has also come to mean a little singer.
Shantell		Rocky area.
Shantelle		From a family name meaning stone or boulder. The name has also come to mean a little singer.
Shanti	Sanskrit	The tranquil one.
Shantina	warrior princess	Tina
Sharay	Ray, Shay	
Sharda	Hindu	
Sharee		A princess.
Shari		A princess.
Sharleen		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Sharlene		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Sharman		Delightful.
Sharmila	Sanskrit	The protected one.
Sharmistha	Hindu	
Sharney		A flat plain.
Sharni		A flat plain.
Sharnie		A flat plain.
Sharon	Hebrew	A flat plain. After a biblical placename.
Sharseia		
Shashi	Hindu	the moon, moonbeam
Shasmecka	African	princess
Shauna		God is gracious.
Shaunna		God is gracious.
Shavonne	Irish Gaelic	Form of Jane and Judith. Jane - God is gracious. Judith - A woman from Judea.
Shawmbria	Shawn, Bria	
Shawn	Irish Gaelic	God is gracious.
Shawna		God is gracious.
Shawnnessy	Irish, Native American	Saughnessy, O'Shaughnessy, Seannesy
Shay	Irish Gaelic	The stately one. A boy or girl's name.
Shayla	Celtic	fairy palace
Shayna	Jewish	Beautiful.
Shayndel	Yiddish	beautiful
Sheba	Greek	A woman of Sheba, an ancient Arabian country.
Sheela	Sanskrit	Of good character.
Sheena	Scottish Gaelic	God is gracious. .
Sheetal	Hindu	cool
Sheila		The blind one, or the sixth. Irish form of Cecilia.
Shela	Celtic	musical
Shelah	Hebrew	request
Shelby	Old English	The dweller at the ledge estate and a sheltered town. A boy or girl's name.
Shelley	Old English	From the wood, or the meadow's edge. A boy or girl's name.
Shelton	Old English	From the place on the ledge.
Sher	Sanskrit	The beloved one or a Lion. A boy or girl's name.
Sheree		The beloved one.
Sheridan	Irish Gaelic	The wild one. A boy or girl's name.
Sherri		The beloved one.
Sherrie		The beloved one.
Sherry		The beloved one.
Shevaun	Irish Gaelic	Form of Jane and Judith. Jane - God is gracious. Judith - A woman from Judea.
Shian		
Shiela		Blind.
Shifra	Hebrew	Beauty and grace. A biblical name.
Shika	Japanese	deer
Shikha	Hindu	
Shin	Korean	belief
Shina	Japanese	virtue, good
Shira	Hebrew	My song.
Shirin	Persian	Charming.
Shirley	Old English	From the bright meadow. Originally a boy's name.
Shirlyn		Bright meadow.
Shivani	Hindu	
Shivaun	Irish Gaelic	Form of Jane and Judith. Jane - God is gracious. Judith - A woman from Judea.
Shobha	Hindu	
Shobhana	Sanskrit	The beautiful one.
Shobhna	Hindu	
Shobi	Hebrew	glorious
Shoko	Japanese	child of Sho
Shona	Scottish Gaelic	God is gracious. .
Shoshana	Hebrew	A Lily, or a Rose. Also see Susannah.
Shoshanah	Hebrew	Rose.
Shoshannah	Hebrew	rose
Shradhdha	Hindu	
Shreya	Hindu	auspicious
Shri	Hindu	lustre
Shridevi	Hindu	
Shrijani	Hindu	creative
Shruti	Hindu	hearing
Shubha	Hindu	
Shulamit	Hebrew	Peacefulness.
Shylah	Celtic	loyal to god, strong
Shysie	Native American	silent little one
Sian	Welsh	God is gracious. .
Sibel	Turkish	Siebel
Sibley	Greek	prophetess
Sibongile	African	thanks
Sibyl		The prophetess. From Greek mythology.
Siddhi	Hindu	then you must have a Riddhi
Sidonia		To entice.
Sidonie	Latin	A woman from Sidon, in modern-day Lebanon.
Sidra	Latin	Of the stars.
Siena	Italian	A city in Tuscany.
Sienna	Italian	reddish brown
Sierra	Latin	From the mountains.
Signe	Swedish	a sign, victorious
Signild	Scandinavian	
Signy	Old Norse	A new victory.
Sigourney	Old Norse	The conqueror.
Sigrid	Old Norse	A beautiful victory.
Sigrun	Old Norse	A secret victory.
Siham	Arabic	arrows
Sile	Irish Gaelic	The blind one, or the sixth. The feminine form of Cecil. Also see Sheila.
Sileas	Scottish Gaelic	The blind one, or the sixth. The feminine form of Cecil. Also see Sheila.
Silei	Samoan	
Silke	German	The blind one, or the sixth. .
Silva		From the forest. Also see Silvestra.
Silvana	Italian	From the forest. Also see Silvestra.
Silver	Old English	The fair or silvery one.
Silvestra	Latin	Of the woods. The feminine form of Silvester. Also see Sylvia.
Silvia		From the forest. Also see Silvestra.
Silvie		From the forest. Also see Silvestra.
Simba	Swahili	lion
Simone	Hebrew	The listener. The feminine form of Simon.
Simoni	Hindu	obedient
Simran	Hindu	God's Gift
Sindy		A maiden of the cinders or ashes. From the name Cinderella, Cynthia and Lucinda (See Lucy), but also used as an independent name.
Sine	Gaelic	God?s gracious gift
Sinead	Irish Gaelic	God is gracious. .
Siobhan	Irish Gaelic	Form of Jane and Judith. Jane - God is gracious. Judith - A woman from Judea.
Sioned	Welsh	God is gracious. .
Siran	Armenian	Alluring.
Sirena	Greek	A sea nymph. In mythology, the Sirens lured mariners to their death through seductive singing.
Siri		A beautiful victory.
Sirikit	Thai	The name of a queen.
Sirisha	Hindu	
Siroun	Armenian	lovely
Sissey		The blind one, or the sixth. .
Sissie		The blind one, or the sixth. .
Sissy		The blind one, or the sixth. .
Sita	Sanskrit	A furrow. The Hindu goddess of the harvest.
Sitara	Sanskrit	morning star
Sitembile	African	trust
Siv	Norwegian	kinship, wife of Thor
Skye	Scottish	An island in the Inner Hebrides.
Skyla	English	sky, sheltering
Skylar	English	eternal life, strength, love and beauty
Smita	Hindu	smiling
Smridhi	Hindu	
Smriti	Hindu	recollection, a form of the Devi
Sneh	Hindu	
Sneha	Hindu	
Snigdha	Hindu	
Snofrid	Scandinavian	
Sobha	Hindu	
Sofia	Norwegian/Swedish	Wisdom.
Sofie	Danish/Dutch	Wisdom.
Solace	Latin	comfort
Solana	Spanish	The sun.
Solange	Latin	The solemn one. A French name.
Soledad	Spanish	Good health.
Soleil	French	sun
Solita	Latin	alone
Solosolo	Samoan	dry
Solveig	Old Norse	From the strong house. The heroine of Henrik Ibsen's Peer Gynt, and generally a Norwegian name.
Somatra	Hindu	excelling the moon
Sona	Hindu	gold
Sonakshi	Hindu	golden eye
Sonal	Hindu	golden
Sonam	Tibetan/Sherpa	The fortunate one. A boy or girl's name.
Sondra		The defender, or helper of mankind. From the name Alexandra.
Sonia		Wisdom.
Sonika	Hindu	golden
Sonnenschein	German	sunshine
Sonya	Russian	Wisdom.
Soo	Korean	Along life.
Sophia	Greek	Wisdom.
Sophie	Greek	Wisdom.
Sophronia	Greek	Sensible.
Sorano	Japanese	of the sky
Soraya	Persian	Farsi (Persian) expression meaning Princess.
Sorcha	Gaelic	Brightness.
Sorilbran	smart	
Sorrel	Old French	Bitter. From the name of the tree.
Sparrow	English	a bird
Spica	Latin	name of a star
Spring	English	spring season
Sraddha	Hindu	faith, a wife of Shiva
Srilata	Hindu	
Sripada	Hindu	
Srishti	Hindu	
Sruti	Hindu	
Stacey		She who will rise again. From the name Anastasia and Eustacia. A boy or girl's name.
Stacia		Resurrection.
Stacy	Latin	Prosperous or resurrection. A boy or girl's name.
Star	English	A star. Also see Stella.
Starr	Old English	A star. A boy or girl's name.
Stefania	Greek	crown
Stefanie		A garland or crown. From Stephanie.
Steffi	German	A garland or crown. The feminine form of Stephen.
Steffie		A garland or crown. The feminine form of Stephen.
Stella	Latin	A star. Also see Estelle, Esther and Star.
Stephanie	Greek	A garland or crown. The feminine form of Stephen.
Stephenie		A garland or crown. The feminine form of Stephen.
Stesha	Greek	crowned-one
Stina		A follower of Christ, a Christian.
Stockard	English	from the yard of tree stumps
Storm	Old English	A tempest. A boy or girl's name.
Stormy		Impetuous nature.
Subhadra	Hindu	a wife of Arjuna
Subhaga	Hindu	a fortunate person
Subhangi	Hindu	
Subhuja	Hindu	auspicious Apsara
Suchi	Hindu	
Suchitra	Hindu	
Sudevi	Hindu	wife of Krishna
Sudha	Hindu	
Sue		A lily. From the name Susan and Susannah but also used as independent names.
Suellen		From Susan and Ellen. Susan - A Lily. Ellen - The light of the sun.
Sujata	Sanskrit	Of noble birth.
Sujatmi	Indonesian	A popular girl's name.
Sukanya	Hindu	
Suki		A lily. Also see Susannah.
Suksma	Hindu	
Sukutai	African	hug
Sula	Icelandic	The sun.
Sulema		Peace.
Sultana	Arabic	A queen or empress.
Suma	Egyptian, Japanese	to ask
Sumalee	Thai	A beautiful flower.
Sumanna	Hindu	
Sumati	Hindu	
Sumehra	Arabic	beautiful face
Sumey	Asian	flower
Sumi	Japanese	The refined one.
Sumitra	Hindu	
Summer	Old English	After the season.
Sun	Chinese/Korean	Chinese: Bending, or decreasing. Korean: Goodness. A boy or girl's name.
Sundeep	Hindu	Sundip
Sunee	Thai	Good.
Sunita	Sanskrit	Of good conduct.
Suniti	Hindu	
Sunniva	Old English	The gift of the sun.
Sunny	English	Bright, cheerful.
Suparna	Hindu	leafy
Suprabha	Hindu	radiant
Supriti	Hindu	
Supriya	Hindu	Su means good and Priya means loved one
Surabhi	Hindu	wish-yielding cow
Suravinda	Hindu	a beautiful Yaksa
Surotama	Hindu	auspicious Apsara
Suruchi	Hindu	
Surupa	Hindu	
Susan	Hebrew	A Lily. Also see Susannah.
Susanna	Italian	A Lily. From the name Susan.
Susannah	Hebrew	A Lily. The original, biblical, form of Susan. Also see Susan.
Susanne	German	A Lily. From the name Susan.
Sushanti	Hindu	peace
Sushma	Hindu	
Sushmita	Hindu	smiling
Susi		A Lily. From the name Susan and Susannah but also used as independent names.
Susie		A Lily. From the name Susan and Susannah but also used as independent names.
Susila	Hindu	wife of Krishna, clever in amorous sciences
Susy		A Lily. From the name Susan and Susannah but also used as independent names.
Suvarna	golden	
Suvrata	Hindu	a child of Daksa
Suzanne	French	A Lily. From the name Susan.
Suzette	French	A Lily. From the name Susan.
Suzie		A Lily. From the name Susan and Susannah but also used as independent names.
Suzy		A Lily. From the name Susan.
Svea	Swedish	A woman of Sweden.
Svetlana	Slavonic	Light. Generally a Russian name.
Swanhild	Teutonic	A swan of battle.
Swarupa	Hindu	truth
Swati	Hindu	
Sweta	Hindu	
Sybil	Greek	The prophetess. From Greek mythology.
Sydelle	Hebrew	princess
Sydnee		Contraction of St. Denys.
Sydney	Old English/Old French	Old English: From the riverside meadow. Old French: From St Denis. More often a boy's name.
Syeira	Gypsy	princess
Sylvia	Latin	From the forest. Also see Silvestra.
Sylvie	French	From the forest. From the name Sylvia.
Syna	Greek	Together.
Syria	Aramaic	The name of a Middle Eastern country.
Syshe	Yiddish	street
Tabitha	Aramaic	A doe or gazelle. A biblical name. Also see Dorcas.
Taborri	Native American	voices that carry
Taci	Zuni Indian	washtub
Tacincala	Native American	deer
Tacita	Latin	Silent or peaceful.
Tadako	Japanese	child of Tada
Tadi	Omaha Indian	wind
Tahira	Arabic	Pure and virtuous.
Tahirah	Arabic	chaste, pure
Tahnee		Silver-haired. Also see Tanya.
Tahnia		Silver-haired. Also see Tanya.
Tailynn	unknown	
Taima	Native American	crash of thunder
Tainn	Native American	new moon
Taipa	Miwok Indian	to spread wings
Tajsa	princess	
Taka	Japanese	Tall, or honourable.
Takako	Japanese	child of Taka
Takara	Japanese	A treasure.
Takiyah	North African	pious, righteous
Tala	Native American	stalking wolf
Talasi	Hopi Indian	corn-tassel flower
Tale	African	green
Taleen	Armenian	Tal, Taline, Talyn
Talia	Aboriginal/Greek/Hebrew/Russian	Aboriginal: Near water. Greek: Flourishing. Hebrew: Dew. Russian: Born at Christmas. From the name Natalya.
Talitha	Aramaic	A little girl or maiden. A biblical name.
Tallara	Aboriginal	Rain.
Tallulah	Native American	Running water.
Talon		
Talulla	Irish Gaelic	A prosperous lady.
Talwyn	Cornish	A fair brow.
Talya	Russian	Born at Christmas. From the name Natalya.
Tam	Scottish	A twin or heart. A boy or girl's name.
Tama	Japanese/Polynesian	Japanese: A jewel. Polynesian: A boy or son. A boy or girl's name.
Tamah		A jewel. From the name Tama.
Tamali	Hindu	
Tamara	Hebrew	A palm tree. A popular name in Germany and Russia.
Tamasine		Twin.
Tamatha		A palm tree. A popular name in Germany and Russia.
Tambrey	unknown	immortal
Tamera	Hebrew	A spice or palm tree.
Tamiko	Japanese	child of Tami
Tammi		A palm tree.
Tammie		A palm tree.
Tammy		A palm tree.
Tamora		From Shakespeare's play Titua Andronicus.
Tamsin	Cornish	A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Tamsyn	Native American	Tami
Tanaka	Japanese	dweller
Tanasha	strong willed, persistant	Tenyasha
Tani	Japanese	From the valley.
Tania		Silver-haired. A nickname for Tatyana. Also see Titania.
Tansy	Greek	Immortal. A flower name.
Tanu	Hindu	
Tanuja	Hindu	
Tanushi	Hindu	
Tanvi	Hindu	
Tanya	Russian	Silver-haired. A nickname for Tatyana. Also see Titania.
Tao	Chinese	Long life.
Tapanga	African, Hebrew	sweet, unpredictable
Tapi	Hindu	
Tapti	Hindu	
Tara	Irish Gaelic/Sanskrit	Irish Gaelic: A rocky hill, from the ancient home of Ireland's kings. Sanskrit: A star. The name of a Buddhist goddess. A boy or girl's name.
Tarana	Aboriginal	A large waterhole.
Taranga	Polynesian	A figure from legend.
Tarra	Aboriginal	A creek.
Tarsha	Native American	
Taryn		The name of a county in Northern Ireland. Feminine form of Tyrone.
Tasha		Born at Christmas. From the name Natalya.
Tashi	Tibetan/Sherpa	Prosperity. A boy or girl's name.
Tasmine		Twin.
Tathra	Aboriginal	Beautiful country.
Tatum	Old English	From Tate's homestead. A boy or girl's name.
Tatya	Aboriginal	A goanna.
Tatyana	Latin	Silver-haired. A popular Russian name. Also see Tanya.
Tavia		The eighth.
Tawnie	English	little one, yellowish-brown
Tawny	Old French	With yellowish-brown hair.
Tayce	French	silence
Tayen	Native American	new moon
Taylar	Old French	to cut
Taylor	Old French	A tailor. A boy or girl's name.
Teagan		
Teal	English	A water bird. A boy or girl's name.
Tean	Cornish	One of the Isles of Scilly. A boy or girl's name.
Tegan	Welsh	Of doe-like beauty.
Tegen	Cornish	A pretty little thing.
Tegwen	Welsh	Beautiful and blessed.
Tehya	Native American	precious
Tejal	Hindu	
Teji	Hindu	
Tekla	Greek	divine fame
Telma		A wish, or will.
Tema	Hebrew	righteous, a palm tree
Temina	Hebrew	honest
Temira	Hebrew	
Temperance	Latin	Moderate.
Tempest	Old French	Stormy.
Teneale		Princess - submitted by Michelle Leaney
Tenzin	Tibetan/Sherpa	Protector of Dharma. A boy or girl's name.
Tenzing	Tibetan/Sherpa	Protector of Dharma. A boy or girl's name.
Teofilia	Greek	Beloved by God.
Tereixa	Galician	
Terena	Latin	earthly
Terencia	Latin	Smooth and polished. A feminine form of Terence.
Terentia	Greek	guardian
Teresa	Greek	The harvester or reaper.
Terhi	Finish	
Teri	Greek	The harvester or reaper. From the name Teresa, but also used as independent names.
Terra	Latin	Earth
Terri	Greek	The harvester or reaper. From the name Teresa, but also used as independent names.
Terry	Greek/Latin	Greek: The harvester or reaper. Latin: Smooth and polished. A boy or girl's name.
Terrylyn		
Tertia	Latin	The third child.
Terza		Pleasant.
Tesia	Polish	loved by God
Tess	Greek	The harvester or reaper. From the name Teresa, but also used as independent names.
Tessa	Greek	The harvester or reaper. From the name Teresa, but also used as independent names.
Tessie	Greek	The harvester or reaper. From the name Teresa, but also used as independent names.
Texcean	Tex	
Thaddea	Greek	Courageous.
Thais	Greek	the bond
Thaisa		From Shakespeare's play Pericles.
Thalassa	Greek	From the sea.
Thalia		Born at Christmas. From the name Natalya.
Thana	Arabic	Gratitude.
Thanh	Vietnamese	Brilliant.
Thara	Arabic	wealth
Thea	Greek	A goddess. Also a nickname from Alethea, Althea, Anthea, Dorothy and Theodora.
Theano	Greek	A divine name.
Thecla	Greek	The glory of God.
Theda	Teutonic	Of the people. Also see Theodora.
Thelma	Greek	A wish, or will.
Theodora	Greek	The gift of God. The feminine form of Theodore. Also see Dorothy.
Theodosia	Greek	God-given.
Theone	Greek	godly
Theophania	Greek	A manifestation of God. A suitable name for a girl born on 6 January, the Epiphany. Also see Tiffany.
Theora	Greek	A thinker or watcher.
Thera	Greek	Wild. From the name of an island.
Theresa		The harvester or reaper.
Therese		The harvester or reaper.
Theresia	German	The harvester or reaper.
Thetis	Greek	Positive determined.
Thirza	Hebrew	sweet-natured, cypress tree
Thisbe	Greek	where the doves live
Thistle	Old English	thistle
Thomasa	Greek	twin
Thomasina	Greek	A twin. The feminine form of Thomas. Also see Tamsin.
Thora	Old Norse	Thunder. A feminine form of Thor.
Thorberta	Old Norse	The brilliance of Thor.
Thorborg	Scandinavian	
Thordis	Old Norse	The spirit of Thor.
Thurid	Scandinavian	
Thyra	Greek	A shield bearer.
